0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
94.0,4.0,2.0,92.5616,101,1.0,73.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,700.0,10.0,,,2.87508,14.1994,1.646261437,101.6483872,,,
94.0,4.0,2.0,92.5616,101,1.0,73.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,730.0,10.0,,,2.8752,14.202029999999999,1.646497635,101.67570140000001,,,
94.0,4.0,2.0,92.5616,101,1.0,73.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,750.0,10.0,,,2.87532,14.202129999999999,1.6464405119999999,101.6849047,,,
94.0,4.0,2.0,92.5616,101,1.0,73.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,780.0,10.0,,,2.8761,14.205039999999999,1.646331259,101.76092750000001,,,
100.0,0.0,0.0,92.70700000000001,101,,,,,,,,,,,,,,650.0,10.0,,,2.875175,14.796907999999998,1.715479116,105.93273190000001,,75.1,1.7
100.0,0.0,0.0,92.70700000000001,101,,,,,,,,,,,,,,680.0,10.0,,,2.8752240000000002,14.198863000000001,1.6461167319999999,101.6547251,,97.4,
100.0,0.0,0.0,92.70700000000001,101,,,,,,,,,,,,,,700.0,10.0,,,2.8753439999999997,14.201038,1.646300176,101.6787835,,132.6,2.55
100.0,0.0,0.0,92.70700000000001,101,,,,,,,,,,,,,,730.0,10.0,,,2.876077,14.201723000000001,1.645959989,101.73553829999999,,167.9,
100.0,0.0,0.0,92.70700000000001,101,,,,,,,,,,,,,,750.0,10.0,,,2.87663,14.200253,1.6454732330000001,101.7641301,,141.0,2.45
100.0,0.0,0.0,92.70700000000001,101,,,,,,,,,,,,,,770.0,10.0,,,2.87697,14.198532,1.6450793719999999,101.7758511,,203.0,
100.0,0.0,0.0,92.70700000000001,101,,,,,,,,,,,,,,800.0,10.0,,,2.878883,14.196933999999999,1.643801201,101.8997751,,220.3,1.95
100.0,0.0,0.0,92.70700000000001,101,0.5,13.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,650.0,10.0,,,2.875166,14.197982999999999,1.646047915,101.644324,,61.1,2.5
100.0,0.0,0.0,92.70700000000001,101,0.5,13.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,680.0,10.0,,,2.875257,14.199632999999999,1.646187106,101.6625714,,92.5,
100.0,0.0,0.0,92.70700000000001,101,0.5,13.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,700.0,10.0,,,2.8753759999999997,14.200647,1.646236527,101.6782471,,130.6,2.6
100.0,0.0,0.0,92.70700000000001,101,0.5,13.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,730.0,10.0,,,2.876093,14.201281,1.645899605,101.73350390000002,,163.6,
100.0,0.0,0.0,92.70700000000001,101,0.5,13.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,750.0,10.0,,,2.876535,14.200863,1.6455982630000001,101.76177990000001,,177.8,3.05
100.0,0.0,0.0,92.70700000000001,101,0.5,13.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,770.0,10.0,,,2.876745,14.198823,1.645241758,101.76201809999999,,190.4,
100.0,0.0,0.0,92.70700000000001,101,0.5,13.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,800.0,10.0,,,2.878629,14.196688,1.643917759,101.8800295,,206.8,2.05
100.0,0.0,0.0,92.70700000000001,101,0.5,41.0,92.90638,41.0,1.6,1.0,652.1,88.0,146.0,72.0,5.0,,,650.0,10.0,,,2.876168,14.195157,1.6451469459999999,101.69493709999999,,32.2,3.3
100.0,0.0,0.0,92.70700000000001,101,0.5,41.0,92.90638,41.0,1.6,1.0,652.1,88.0,146.0,72.0,5.0,,,680.0,10.0,,,2.876225,14.198464999999999,1.645497715,101.7226676,,51.0,
100.0,0.0,0.0,92.70700000000001,101,0.5,41.0,92.90638,41.0,1.6,1.0,652.1,88.0,146.0,72.0,5.0,,,700.0,10.0,,,2.876317,14.199264000000001,1.645537679,101.73489980000001,,67.2,2.75
100.0,0.0,0.0,92.70700000000001,101,0.5,41.0,92.90638,41.0,1.6,1.0,652.1,88.0,146.0,72.0,5.0,,,730.0,10.0,,,2.876474,14.199739000000001,1.645502909,101.7494099,,89.2,
