0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Unnamed: 27,Unnamed: 28
100.0,0.0,0.0,92.707,101,0.5,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,650.0,10.0,,,2.875166,14.197983,1.6460479151464646,101.64432396050323,,61.1,2.5
100.0,0.0,0.0,92.707,101,0.5,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,680.0,10.0,,,2.875257,14.199633,1.6461871060569542,101.66257142820056,,92.5,
100.0,0.0,0.0,92.707,101,0.5,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,700.0,10.0,,,2.875376,14.200647,1.646236526979428,101.67824709826024,,130.6,2.6
100.0,0.0,0.0,92.707,101,0.5,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,730.0,10.0,,,2.876093,14.201281,1.6458996052399326,101.73350390640704,,163.6,
100.0,0.0,0.0,92.707,101,0.5,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,750.0,10.0,,,2.876535,14.200863,1.645598263188176,101.7617799215608,,177.8,3.05
100.0,0.0,0.0,92.707,101,0.5,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,770.0,10.0,,,2.876745,14.198823,1.645241757611467,101.76201805565354,,190.4,
100.0,0.0,0.0,92.707,101,0.5,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,800.0,10.0,,,2.878629,14.196688,1.643917758534821,101.88002953538954,,206.8,2.05
100.0,0.0,0.0,92.707,101,0.5,5.0,92.90638,41.0,1.6,1.0,652.1,88.0,146.0,72.0,5.0,,,650.0,10.0,,,2.876168,14.195157,1.645146945519177,101.69493709835172,,32.2,3.3
100.0,0.0,0.0,92.707,101,0.5,5.0,92.90638,41.0,1.6,1.0,652.1,88.0,146.0,72.0,5.0,,,680.0,10.0,,,2.876225,14.198465,1.6454977154661639,101.72266757137494,,51.0,
100.0,0.0,0.0,92.707,101,0.5,5.0,92.90638,41.0,1.6,1.0,652.1,88.0,146.0,72.0,5.0,,,700.0,10.0,,,2.876317,14.199264,1.6455376789136942,101.7348998293617,,67.2,2.75
100.0,0.0,0.0,92.707,101,0.5,5.0,92.90638,41.0,1.6,1.0,652.1,88.0,146.0,72.0,5.0,,,730.0,10.0,,,2.876474,14.199739,1.6455029085377908,101.7494099172343,,89.2,
100.0,0.0,0.0,92.707,101,0.5,5.0,92.90638,41.0,1.6,1.0,652.1,88.0,146.0,72.0,5.0,,,750.0,10.0,,,2.876821,14.201218,1.6454757989229547,101.78456068913921,,91.7,2.5
100.0,0.0,0.0,92.707,101,0.5,5.0,92.90638,41.0,1.6,1.0,652.1,88.0,146.0,72.0,5.0,,,770.0,10.0,,,2.877027,14.202028,1.6454518269496023,101.80494450243481,,95.7,
100.0,0.0,0.0,92.707,101,0.5,5.0,92.90638,41.0,1.6,1.0,652.1,88.0,146.0,72.0,5.0,,,800.0,10.0,,,2.877425,14.203734,1.6454218615602494,101.84534585184437,,106.6,2.9
100.0,0.0,0.0,92.707,101,0.5,3.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,650.0,10.0,,,2.876154,14.19494,1.6451298041296352,101.6923924971201,,38.6,4.0
100.0,0.0,0.0,92.707,101,0.5,3.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,680.0,10.0,,,2.876468,14.201701,1.645733703046004,101.76304425752221,,68.1,
100.0,0.0,0.0,92.707,101,0.5,3.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,700.0,10.0,,,2.876547,14.203506,1.645897668280755,101.78156855708859,,83.0,3.1
100.0,0.0,0.0,92.707,101,0.5,3.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,730.0,10.0,,,2.877321,14.206092,1.6457545056669036,101.85489030228581,,101.6,
100.0,0.0,0.0,92.707,101,0.5,3.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,750.0,10.0,,,2.877482,14.206043,1.645656746650949,101.86593780710987,,102.5,3.0
100.0,0.0,0.0,92.707,101,0.5,3.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,770.0,10.0,,,2.87772,14.206283,1.6455484434436523,101.88451064280989,,106.9,
100.0,0.0,0.0,92.707,101,0.5,3.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,800.0,10.0,,,2.878498,14.209857,1.6455175581153783,101.96525348600045,,119.5,3.3
