0,1,2,3,4,5,6,7
100.0,0.0,0.0,103.0,0.0,3.0,730.0,16.0
100.0,0.0,0.0,103.0,0.0,5.0,730.0,16.0
100.0,0.0,0.0,103.0,0.0,7.0,730.0,16.0
90.0,10.0,0.0,103.0,26.0,1.0,720.0,12.0
90.0,10.0,0.0,103.0,13.0,1.0,720.0,12.0
94.0,0.0,4.0,105.0,0.0,2.0,750.0,20.0
95.0,0.0,5.0,104.0,14.0,0.0,760.0,10.0
95.0,0.0,5.0,104.0,14.0,1.0,760.0,10.0
95.0,0.0,5.0,104.0,14.0,1.0,760.0,10.0
81.5,0.0,15.0,105.0,0.0,3.0,750.0,21.0
90.0,10.0,0.0,104.0,24.0,2.0,750.0,12.0
