0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
80.0,10.0,10.0,92.3555,105.0,1.2880349384696257,21.8196251913216,47.47019605428068,21.819625185702268,1.5397310815386815,4.901472634294735,659.0004730283906,7.608388596760271,146.94546712011734,73.83430290735859,2.983288410113824,260.0,2.0,750.0,6.0,1.6765922646099747,3.0
80.0,10.0,10.0,92.3555,105.0,1.6126332501756966,43.30832784118921,100.83242561713188,43.308327842731735,1.443334696223607,5.384976601670259,638.5410255530103,42.025261216847696,164.98670678164908,88.61294299963572,4.088669989317295,500.0,4.0,750.0,12.0,1.4617859064383532,3.1760305121189325
80.0,10.0,10.0,92.3555,105.0,0.25,74.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,500.0,4.0,750.0,12.0,1.3798539934347605,2.8567950400978317
80.0,10.0,10.0,92.3555,105.0,0.5,74.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,500.0,4.0,750.0,12.0,1.3768531931190904,2.7822640246808628
80.0,10.0,10.0,92.3555,105.0,1.0,74.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,500.0,4.0,750.0,12.0,1.3793670941328757,2.754344522853474
80.0,10.0,10.0,92.3555,105.0,2.0,74.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,500.0,4.0,750.0,12.0,1.3663112305214582,2.750119960666817
80.0,10.0,10.0,92.3555,108.0,2.380785941092444,34.36404828528713,77.91618839728767,34.36404828480901,1.3414994565213285,1.6449228176074113,606.6604656988252,42.492836141907404,174.56506573136167,88.08683771557541,3.5932093653994963,550.0,5.0,800.0,16.0,1.4345750608170589,4.4621005709107555
80.0,10.0,10.0,92.3555,108.0,5.0,19.0,39.098,19.0,0.82,3.0,418.8,48.4,243.0,138.0,1.0,550.0,5.0,800.0,16.0,1.484452026382447,4.706295157850312
80.0,10.0,10.0,92.3555,108.0,5.0,22.0,47.867,22.0,1.54,5.0,658.8,7.6,147.0,74.0,3.0,550.0,5.0,800.0,16.0,1.7199838329988293,2.8101667583897463
80.0,10.0,10.0,92.3555,108.0,7.406459425894291,18.05300522057742,39.27066063114686,18.053005221195093,1.073198836612313,1.5342529675773726,539.7617837935684,40.545645125264706,189.8034890307344,103.9294238135802,1.7050840529126534,550.0,5.0,800.0,16.0,1.4501344549546784,4.779083865668817
80.0,10.0,10.0,92.3555,100.0,2.633366783794175,20.02335625961791,43.33402550786769,20.023356260343327,1.5195483147298843,4.469930554912423,662.0224027639058,7.374635488621574,146.89611400332404,73.93949273601956,2.803902458899745,550.0,4.0,780.0,12.0,1.7105916288436194,2.840147365201446
80.0,10.0,10.0,92.3555,100.0,0.01,12.0,24.304999999999996,12.0,1.31,3.0,737.7,0.0,145.0,72.0,2.0,550.0,4.0,780.0,12.0,1.8696041416698668,2.844236428328423
80.0,10.0,10.0,92.3555,100.0,0.03,12.0,24.304999999999996,12.0,1.31,3.0,737.7,0.0,145.0,72.0,2.0,550.0,4.0,780.0,12.0,1.8556740127966298,2.818873588431863
80.0,10.0,10.0,92.3555,100.0,0.05,12.0,24.304999999999996,12.0,1.31,3.0,737.7,0.0,145.0,72.0,2.0,550.0,4.0,780.0,12.0,1.8643879737724114,2.8934305315225832
80.0,10.0,10.0,92.3555,100.0,0.06,12.0,24.304999999999996,12.0,1.31,3.0,737.7,0.0,145.0,72.0,2.0,550.0,4.0,780.0,12.0,1.8599384014937828,2.810153123321619
80.0,10.0,10.0,92.3555,110.0,1.1615315516358566,59.16468879038372,143.52356948263287,59.16468878664713,1.2372098585342934,6.14811250335292,614.2234955215802,19.732815007941902,198.85064868842906,102.42746529917657,3.3071586480962183,470.00000000000006,6.0,780.0,15.0,1.3989102356605074,3.545734996270871
80.0,10.0,10.0,92.3555,110.0,1.0,38.99999999999999,88.90585,38.99999999999999,1.22,1.0,600.0,29.6,212.0,90.0,3.0,470.00000000000006,6.0,780.0,15.0,1.4378913579563495,4.233661726797251
80.0,10.0,10.0,92.3555,110.0,2.0,38.99999999999999,88.90585,38.99999999999999,1.22,1.0,600.0,29.6,212.0,90.0,3.0,470.00000000000006,6.0,780.0,15.0,1.4403469128265234,4.4548408729462325
