0,1,2,3,4,5,6,7,8,9,10,11
140.0,,,,,,,,,,2.7,4.3
146.0,,,,,,,,,,2.7,4.5
182.0,,,,,,,,,,2.7,4.8
186.0,,,,,,,,,,2.7,5.0
120.4,,,85.26,70.81395349,,,,25.0,25.0,2.8,4.3
150.0,,,143.38,95.58666667,,,,25.0,25.0,2.8,4.3
161.2850082,97.9,60.7,,,,,,25.0,25.0,2.8,4.3
162.83987919999998,107.8,66.2,,,,,,25.0,25.0,2.8,4.3
169.03553300000002,133.2,78.8,,,,,,25.0,25.0,2.8,4.3
175.2066116,169.6,96.8,,,,,,25.0,25.0,2.8,4.3
172.6256983,154.5,89.5,,,,,,25.0,25.0,2.8,4.3
190.0,181.64,95.6,,,,,,25.0,25.0,2.7,4.3
185.0,171.68,92.8,,,,,,25.0,25.0,2.7,4.3
200.0,121.6,60.8,,,,,,25.0,25.0,2.7,4.3
204.8,160.5632,78.4,,,,,,55.0,55.0,2.7,4.3
205.0,150.0,73.17073171,,,,,,55.0,55.0,2.7,4.3
220.0,,,,,,,,55.0,55.0,2.7,4.3
258.0,,0.0,232.2,90.0,,,,22.5,22.5,2.0,4.8
274.0,,0.0,191.8,70.0,,,,22.5,22.5,2.0,4.8
250.0,150.0,60.0,197.5,79.0,,,,,,2.0,4.8
260.0,160.0,61.53846154,208.0,80.0,,,,,,2.0,4.8
188.9,,,,,,,,25.0,25.0,2.8,4.5
201.8,,,149.34,74.0,,,,25.0,25.0,2.8,4.5
192.6,,,,,,,,25.0,25.0,2.8,4.5
197.0,,,,83.3,,,,25.0,25.0,2.8,4.5
199.7,,,,87.2,,,,25.0,25.0,2.8,4.5
195.9,,,,83.7,,,,25.0,25.0,2.8,4.5
191.4,,,,84.3,,,,25.0,25.0,2.8,4.5
210.0,,,,,,,,25.0,25.0,3.0,4.3
194.0,,,,,,,,25.0,25.0,3.0,4.3
192.0,,,,,,,,25.0,25.0,3.0,4.3
,,,,60.9,,,,30.0,30.0,2.7,4.5
,,,,82.4,,,,30.0,30.0,2.7,4.5
