0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
100,0,0,92.707,101,0.5,Ta,180.94788,73,1.5,2,761,31,146,72,5,,,700,10,,,2.876547,14.203506,1.645897668,101.7815686,,83,3.1
100,0,0,92.707,101,0.5,Ta,180.94788,73,1.5,2,761,31,146,72,5,,,730,10,,,2.877321,14.206092,1.645754506,101.8548903,,101.6,
100,0,0,92.707,101,0.5,Ta,180.94788,73,1.5,2,761,31,146,72,5,,,750,10,,,2.877482,14.206043,1.645656747,101.8659378,,102.5,3
100,0,0,92.707,101,0.5,Ta,180.94788,73,1.5,2,761,31,146,72,5,,,770,10,,,2.87772,14.206283,1.645548443,101.8845106,,106.9,
100,0,0,92.707,101,0.5,Ta,180.94788,73,1.5,2,761,31,146,72,5,,,800,10,,,2.878498,14.209857,1.645517558,101.9652535,,119.5,3.3
100,0,0,92.707,101,0.5,Mo,95.95,42,2.16,7,684.3,72.1,139,69,6,,,650,10,,,2.875549,14.194215,1.645391889,101.6444232,,33.9,3
100,0,0,92.707,101,0.5,Mo,95.95,42,2.16,7,684.3,72.1,139,69,6,,,680,10,,,2.875551,14.197541,1.645776294,101.6683821,,48.7,
100,0,0,92.707,101,0.5,Mo,95.95,42,2.16,7,684.3,72.1,139,69,6,,,700,10,,,2.87581,14.199797,1.645889564,101.7028555,,54.4,3.65
100,0,0,92.707,101,0.5,Mo,95.95,42,2.16,7,684.3,72.1,139,69,6,,,730,10,,,2.876237,14.200867,1.645769223,101.7407253,,57.7,
100,0,0,92.707,101,0.5,Mo,95.95,42,2.16,7,684.3,72.1,139,69,6,,,750,10,,,2.876786,14.2019,1.645574842,101.786972,,79.1,3.25
100,0,0,92.707,101,0.5,Mo,95.95,42,2.16,7,684.3,72.1,139,69,6,,,770,10,,,2.876988,14.202052,1.645476913,101.8023565,,94.5,
100,0,0,92.707,101,0.5,Mo,95.95,42,2.16,7,684.3,72.1,139,69,6,,,800,10,,,2.877846,14.205402,1.645374353,101.8871139,,105.1,3.1
80,10,10,92.3555,102,,,,,,,,,,,,480,3,800,12,2,,2.8717,14.208,1.64919734,101.4709477,,,
90,5,5,92.53125,102,,,,,,,,,,,,480,3,750,12,2,,2.8758,14.204,1.646382456,101.732251,,,
90,5,5,92.53125,102,,Mg,24.305,12,1.31,3,737.7,0,145,72,2,480,3,800,12,2,,2.8755,14.203,1.646438301,101.7038662,,,
90,5,5,92.53125,102,,Mg,24.305,12,1.31,3,737.7,0,145,72,2,480,3,750,12,2,,2.8747,14.202,1.646780534,101.6401267,,,
90,5,5,92.53125,102,,Mg,24.305,12,1.31,3,737.7,0,145,72,2,480,3,800,12,2,,2.8749,14.201,1.646550025,101.6471122,,,
90,5,5,92.53125,102,,Mg,24.305,12,1.31,3,737.7,0,145,72,2,480,3,750,12,2,,2.8766,14.206,1.646156342,101.8031917,,,
80,10,10,92.3555,105,0.1,B,10.81,5,2.04,2,800.6,26.7,87,27,3,650,5,800,10,1.5,,2.8708,14.1982,1.648576471,101.3374091,1.6121,,
80,10,10,92.3555,105,0.2,B,10.81,5,2.04,2,800.6,26.7,87,27,3,650,5,800,10,1.5,,2.8721,14.2029,1.648375753,101.4627841,1.7181,,
80,10,10,92.3555,105,0.3,B,10.81,5,2.04,2,800.6,26.7,87,27,3,650,5,800,10,1.5,,2.8732,14.2088,1.648429161,101.5826992,1.6987,,
80,10,10,92.3555,105,,,,,,,,,,,,650,5,800,10,1.5,,2.8701,14.1966,1.648792725,101.2765818,1.5249,,
80,10,10,92.3555,105,0.1,B,10.81,5,2.04,2,800.6,26.7,87,27,3,650,5,800,10,1.5,,2.8708,14.1982,1.648576471,101.3374091,1.6121,,
80,10,10,92.3555,105,0.2,B,10.81,5,2.04,2,800.6,26.7,87,27,3,650,5,800,10,1.5,,2.8721,14.2029,1.648375753,101.4627841,1.7181,,
80,10,10,92.3555,105,0.3,B,10.81,5,2.04,2,800.6,26.7,87,27,3,650,5,800,10,1.5,,2.8732,14.2088,1.648429161,101.5826992,1.6987,,
80,10,10,92.3555,105,,,,,,,,,,,,650,5,800,10,1.5,,2.8701,14.1966,1.648792725,101.2765818,1.5249,,
83,7,10,92.46815,105,,,,,,,,,,,,,,800,15,,,,,,,,,
83,7,10,92.46815,105,,,,,,,,,,,,,,800,15,,,,,,,,,
83,7,10,92.46815,105,,,,,,,,,,,,,,800,15,,,,,,,,,
83,7,10,92.46815,105,,,,,,,,,,,,,,800,15,,,,,,,,,
83,7,10,92.46815,105,0.6,W,183.84,74,2.36,5,770,78.6,139,66,6,,,800,15,,,,,,,,,
83,7,10,92.46815,105,0.6,B,10.81,5,2.04,2,800.6,26.7,87,27,3,,,800,15,,,,,,,,,
90,5,5,92.53125,105,,,,,,,,,,,,,,,,,,,,,,,,
90,5,5,92.53125,105,,,,,,,,,,,,500,10,730,15,,,,,,,,,
90,5,5,92.53125,105,,,,,,,,,,,,500,10,750,15,,,,,,,,,
90,5,5,92.53125,105,,,,,,,,,,,,500,10,770,15,,,,,,,,,
90,5,5,92.53125,105,,,,,,,,,,,,500,10,730,15,,,,,,,,,
90,5,5,92.53125,105,,,,,,,,,,,,500,10,730,15,,,,,,,,,
90,5,5,92.53125,105,,,,,,,,,,,,500,10,730,15,,,,,,,,,
